0.70	0.26626356E+03
0.72	0.14398892E+03
0.74	0.36461461E+02
0.76	-.57114985E+02
0.78	-.13773476E+03
0.80	-.20639037E+03
0.82	-.26410855E+03
0.84	-.31192496E+03
0.86	-.35075353E+03
0.88	-.38169509E+03
0.90	-.40574113E+03
0.92	-.42378711E+03
0.94	-.43659069E+03
0.96	-.44486437E+03
0.98	-.44925948E+03
1.00	-.45036269E+03
1.02	-.44867572E+03
1.04	-.44465149E+03
1.06	-.43868308E+03
1.08	-.43113582E+03
1.10	-.42231380E+03
1.12	-.41247891E+03
1.14	-.40185629E+03
1.16	-.39063603E+03
1.18	-.37898948E+03
1.20	-.36705333E+03
1.22	-.35494955E+03
1.24	-.34278070E+03
1.26	-.33063577E+03
1.28	-.31859231E+03
1.30	-.30671302E+03
1.32	-.29505495E+03
1.34	-.28366403E+03
1.36	-.27257124E+03
1.38	-.26180474E+03
1.40	-.25138092E+03
1.42	-.24131246E+03
1.44	-.23160651E+03
1.46	-.22226810E+03
1.48	-.21329695E+03
1.50	-.20468909E+03
1.52	-.19644058E+03
1.54	-.18854690E+03
1.56	-.18099873E+03
1.58	-.17379557E+03
1.60	-.16692615E+03
1.62	-.16037976E+03
1.64	-.15414897E+03
1.66	-.14822484E+03
1.68	-.14259708E+03
1.70	-.13725760E+03
1.72	-.13219516E+03
1.74	-.12740047E+03
1.76	-.12286437E+03
1.78	-.11857795E+03
1.80	-.11453267E+03
1.82	-.11072117E+03
1.84	-.10713497E+03
1.86	-.10376735E+03
1.88	-.10061234E+03
1.90	-.97664932E+02
1.92	-.94917391E+02
1.94	-.92374613E+02
1.96	-.90014776E+02
1.98	-.87831540E+02
2.00	-.85862057E+02
